DSF Project ID,Delivery State,Flow,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,EAC Hr,EAC Efficiency,Work Prog,Time Prog,Effort Prog,RAG, Reason
DSFFLOW-2750,In Progress,"Maiden Installation, Migration",Core Network,IMS,189,189,12,24-Jun-25,24-Jun-25,09-Jul-25,26-Dec-25,26-Dec-25,,185,185,5869.0,5869.0,1400.7,5469.0,8%,6%,49%,24%,Green,[In Prog] late start; 
DSFFLOW-3044,In Progress,Maiden Installation,"Core Network, Network Management","Activation, Signaling, UDM",263,289,134,09-Jul-25,09-Jul-25,15-Jul-25,31-Dec-25,31-Dec-25,,175,175,3496.0,4277.0,1380.1,3464.1,19%,46%,43%,32%,Green,[In Prog] 
DSFFLOW-151,In Progress,Upgrade,Network Management,Element Management,87,75,60,13-Apr-25,13-Apr-25,13-Apr-25,26-Sep-25,26-Sep-25,,166,166,1719.0,1545.0,1379.5,1418.016667,8%,80%,98%,89%,Green,[In Prog] 
DSFFLOW-2882,In Progress,Upgrade,BOS,"D&A Mediation, Monetization Billing",37,37,10,10-May-25,10-May-25,10-Jul-25,18-Nov-25,18-Nov-25,,192,192,2844.249722,2844.249722,1360.1,2748.799722,3%,27%,70%,48%,Amber,[In Prog] efforts burnt misaligned with work progress; late start; 
DSFFLOW-4124,In Progress,Maiden Installation,Network Management,Element Management,113,113,40,31-Jul-25,31-Jul-25,04-Aug-25,30-Jan-26,30-Jan-26,,183,183,4680.0,4680.0,1356.0,4676.0,0%,35%,29%,29%,Green,[In Prog] 
DSFFLOW-2656,In Progress,Upgrade,Network Management,Element Management,96,98,63,01-Jul-25,01-Jul-25,01-Jul-25,19-Dec-25,19-Dec-25,,171,171,2840.0,2544.0,1350.733333,2492.833333,2%,64%,49%,53%,Green,[In Prog] 
DSFFLOW-1713,In Progress,Upgrade,Core Network,UDM,18,18,8,15-Mar-25,15-Mar-25,15-Mar-25,30-Oct-25,30-Oct-25,,229,229,2328.0,2328.0,1341.0,2336.0,0%,44%,83%,58%,Green,[In Prog] 
DSFFLOW-4085,In Progress,Upgrade,Core Network,Cloud,206,206,27,07-Jul-25,07-Jul-25,07-Jul-25,14-Nov-25,14-Nov-25,,130,130,7116.98,7116.98,1283.96,7008.54,2%,13%,60%,18%,Green,[In Prog] 
DSFFLOW-1568,In Progress,Upgrade,BOS,D&A Mediation,33,33,17,25-May-25,25-May-25,30-Jun-25,19-Sep-25,19-Sep-25,,117,117,1614.5,1614.5,1169.013333,1503.14,8%,52%,103%,72%,Green,[In Prog] work progress misaligned with time progress; late start; 
DSFFLOW-2544,In Progress,Maiden Installation,Core Network,Cloud-3PP/MPBN,78,78,2,19-Apr-25,19-Apr-25,26-Jun-25,31-Oct-25,31-Oct-25,,195,195,8854.5,8854.5,1160.5,8738.0,1%,3%,80%,13%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; late start; 
DSFFLOW-2249,In Progress,"Upgrade, Expansion, Maiden Installation",BOS,Monetization Charging,396,396,42,22-Jun-25,22-Jun-25,27-Jun-25,19-Sep-25,28-Nov-25,,89,159,3683.11,3683.11,1154.2,3173.29,15%,11%,58%,31%,Amber,[In Prog] efforts burnt misaligned with work progress; 
DSFFLOW-3649,In Progress,Upgrade,Core Network,IMS,31,31,16,03-Jul-25,03-Jul-25,03-Jul-25,30-Dec-25,30-Dec-25,,180,180,2715.0,2715.0,1150.0,2595.0,4%,52%,45%,42%,Green,[In Prog] 
DSFFLOW-4677,In Progress,Maiden Installation,Core Network,EPC,127,127,2,11-Aug-25,11-Aug-25,11-Aug-25,31-Dec-26,31-Dec-26,,507,507,10485.6,10485.6,1120.75,10435.6,0%,2%,8%,11%,Green,[In Prog] 
DSFFLOW-2435,In Progress,Upgrade,Core Network,EPC,16,16,10,16-Jun-25,16-Jun-25,16-Jun-25,30-Oct-25,30-Oct-25,,136,136,558.0,558.0,428.0,542.0,3%,63%,72%,77%,Green,[In Prog] 
DSFFLOW-4498,In Progress,Upgrade,Core Network,"EPC, IMS, MSS, UDM",210,206,21,15-Jul-25,15-Jul-25,15-Jul-25,15-Jan-26,15-Jan-26,,184,184,3907.0,3907.0,1021.166667,3895.833333,0%,10%,38%,26%,Green,[In Prog] 
DSFFLOW-3669,In Progress,Upgrade,Core Network,"EPC, IMS, Signaling, UDM",226,226,19,09-Jun-25,19-Jun-25,19-Jun-25,30-Oct-25,30-Nov-25,,143,164,4764.0,4764.0,1013.25,4630.0,3%,8%,58%,21%,Green,[In Prog] 
DSFFLOW-1662,In Progress,Upgrade,Network Management,Element Management,67,67,45,07-May-25,07-May-25,06-Jun-25,31-Jul-25,30-Sep-25,,85,146,1440.0,1440.0,1010.0,1355.0,6%,67%,95%,70%,Green,[In Prog] late start; 
DSFFLOW-2169,In Progress,Maiden Installation,Core Network,"EPC, Signaling, UDM",327,327,1,15-Jun-25,15-Jun-25,24-Jun-25,20-Aug-27,20-Aug-27,,796,796,29308.1,29308.1,998.7,29302.09,0%,0%,13%,3%,Green,[In Prog] late start; 
DSFFLOW-4140,In Progress,Upgrade,Core Network,"Cloud, EPC, IMS, UDM",97,97,21,16-Apr-25,16-Apr-25,16-Apr-25,30-Dec-25,30-Dec-25,,258,258,2201.0,2201.0,996.0,2121.0,4%,22%,62%,45%,Amber,[In Prog] efforts burnt misaligned with work progress; 
