DSF Project ID,Delivery State,Flow,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,EAC Hr,EAC Efficiency,Work Prog,Time Prog,Effort Prog,RAG,RAG Reason
DSFFLOW-2641,In Progress,Upgrade,Network Management,Element Management & Reporting,24,24,9,01-Jul-25,01-Jul-25,01-Jul-25,29-Sep-25,29-Sep-25,,90,90,850,850,405.7,804.8,5%,38%,57%,48%,Green,[In Prog] 
DSFFLOW-2513,In Progress,Maiden Installation,Core Network,"EPC, Signaling",46,46,0,25-Jul-24,25-Jul-24,24-Jul-25,31-Dec-25,31-Dec-25,,524,524,1896,1896,1584,1736,8%,0%,74%,84%,Red,[In Prog] efforts burning without any work progress; time ticking without any work progress; late start; 
DSFFLOW-4070,In Progress,Maiden Installation,BOS,"Core Commerce, D&A Mediation, Monetization Billing",60,60,0,06-Jun-25,06-Jun-25,31-Jul-25,31-Dec-27,31-Dec-27,,938,938,48905.49972,48905.49972,1384.75,48677.49972,0%,0%,8%,3%,Green,[In Prog] late start; Delivery Manager not assigned
DSFFLOW-2047,In Progress,Upgrade,Network Management,Element Management & Reporting,360,360,40,08-May-25,08-May-25,18-Jun-25,31-Aug-26,31-Aug-26,,480,480,9297,9297,1333,9222,1%,11%,22%,15%,Green,[In Prog] late start; 
DSFFLOW-2724,In Progress,Migration,"Core Network, Network Management","Cloud, Core Network Automation, EPC, IMS, MSS, Resource Orchestration, UDM",68,68,11,01-Jun-25,01-Jun-25,07-Jul-25,29-Sep-25,29-Sep-25,,120,120,10250,10250,2415,10170,1%,16%,66%,24%,Green,[In Prog] work progress misaligned with time progress; late start; 
DSFFLOW-862,In Progress,Upgrade,Core Network,MSS,63,63,18,05-May-25,05-May-25,19-May-25,31-Dec-25,31-Dec-25,,240,240,2474.75,2474.75,1252.1,2514.75,-2%,29%,44%,51%,Amber,[In Prog] projecting 1%+ EAC effort overrun ; efforts burnt misaligned with work progress; late start; 
DSFFLOW-151,In Progress,Upgrade,Network Management,Element Management & Reporting,87,79,50,13-Apr-25,13-Apr-25,13-Apr-25,30-Jul-25,31-Aug-25,,108,140,1719,1637,1246,1487,9%,63%,91%,76%,Green,[In Prog] 
DSFFLOW-1416,In Progress,Migration,"Core Network, Network Management","Activation, EPC, IMS, MSS, UDM",155,155,16,23-Apr-25,23-Apr-25,27-May-25,31-Dec-25,31-Dec-25,,252,252,8449.25,8449.25,2600.005,8234.75,3%,10%,47%,31%,Amber,[In Prog] efforts burnt misaligned with work progress; late start; 
DSFFLOW-2384,In Progress,Upgrade,Network Management,Resource Orchestration,12,12,4,16-Jun-25,01-Jun-25,24-Jun-25,30-Jun-26,31-Dec-26,,379,578,4016.25,4016.25,1236.75,4016.25,0%,33%,15%,31%,Green,[In Prog] late start; Delivery Manager not assigned
DSFFLOW-2529,In Progress,Maiden Installation,Core Network,"Cloud, EPC, IMS, MSS, UDM",15,15,4,24-Jun-25,24-Jun-25,26-Jun-25,29-Aug-25,29-Aug-25,,66,66,2325,2325,2322,2318,0%,27%,85%,100%,Red,[In Prog] efforts burnt outweighing work output; work lagging as effort nears budget; work progress misaligned with time progress; 
